ID,CC Diff (slow-fast),HV Diff (slow-fast),MI Diff (slow-fast),Slow-Fast MediTime
4400,0,162.74,-7.92,11.5090
4401,-1,-51.14,4.46,11.4914
4402,1,112.60,-0.71,11.4731
4403,0,43.62,-4.04,11.4514
4404,0,-10.56,-2.06,11.3938
4405,-3,-81.92,3.14,11.3925
4406,0,6.73,-0.44,11.3751
4407,3,138.74,-2.18,11.3696
4408,0,-170.61,12.17,11.3668
4409,0,0.00,0.00,11.3413
4410,-2,-110.91,4.08,11.3387
4411,2,118.55,-2.32,11.3004
4412,-1,-7.20,-0.31,11.2828
4413,0,44.70,-1.07,11.2795
4414,0,5.82,-0.18,11.2763
4415,1,2.41,7.61,11.2560
4416,4,188.51,-1.58,11.2429
4417,0,30.46,-0.31,11.2403
4418,0,0.00,0.00,11.2335
4419,-1,-107.98,16.22,11.2266
4420,1,11.72,-0.10,11.2223
4421,-1,-123.66,-2.44,11.2210
4422,0,34.87,-5.12,11.2188
4423,0,-45.31,7.52,11.2105
4424,0,2.25,-1.82,11.2063
4425,0,-24.04,2.31,11.2038
4426,0,48.11,-1.31,11.2001
4427,3,284.06,-5.96,11.1807
4428,0,-18.64,3.03,11.1752
4429,0,-45.31,10.48,11.1663
4430,0,-14.10,1.08,11.1636
4431,0,16.58,-1.97,11.1587
4432,1,42.84,1.08,11.1539
4433,0,33.53,4.27,11.1283
4434,-2,-47.66,4.20,11.0850
4435,0,0.00,-1.71,11.0835
4436,-1,-112.15,14.69,11.0822
4437,-2,-158.25,14.87,11.0739
4438,0,0.00,0.00,11.0282
4439,-4,-178.38,16.42,11.0067
4440,0,13.75,-6.21,11.0029
4441,0,0.00,0.00,10.9928
4442,0,65.74,-1.60,10.9822
4443,0,0.00,-2.16,10.9674
4444,0,-8.28,6.03,10.9657
4445,2,78.87,4.20,10.9159
4446,1,35.80,-6.34,10.9158
4447,1,38.89,-3.55,10.9039
4448,0,-4.39,-0.41,10.9028
4449,-1,-42.30,4.28,10.8858
4450,-6,-253.35,11.16,10.8806
4451,1,18.46,-2.12,10.8676
4452,1,51.14,-4.46,10.8620
4453,-1,-99.49,4.39,10.8491
4454,0,-27.96,0.33,10.8200
4455,0,33.84,-0.38,10.8197
4456,-2,120.49,-7.65,10.8181
4457,0,39.63,-10.39,10.8168
4458,0,35.68,-0.59,10.8057
4459,1,8.64,2.83,10.7731
4460,5,185.94,-3.60,10.7707
4461,4,164.53,-5.20,10.7638
4462,2,190.75,-7.58,10.7627
4463,0,-59.78,5.23,10.7607
4464,0,-9.29,1.56,10.7367
4465,0,0.00,0.00,10.7190
4466,0,0.00,0.00,10.7189
4467,0,-7.53,-0.03,10.7167
4468,1,46.98,3.89,10.7101
4469,2,136.24,-2.35,10.6927
4470,1,16.61,0.42,10.6862
4471,0,69.22,-3.56,10.6832
4472,-1,-82.12,9.54,10.6746
4473,0,-24.04,2.31,10.6745
4474,0,-2.02,0.20,10.6690
4475,0,-31.57,1.14,10.6495
4476,0,7.29,0.45,10.6463
4477,0,-11.60,0.22,10.6403
4478,0,-16.77,-1.58,10.6286
4479,0,19.36,-3.21,10.6281
4480,-1,-47.84,2.94,10.6256
4481,3,75.41,-8.54,10.6255
4482,0,98.86,-14.60,10.6109
4483,0,0.00,0.00,10.6042
4484,0,26.80,-1.90,10.6000
4485,-1,-94.01,6.43,10.5992
4486,1,-10.11,-5.61,10.5816
4487,0,19.63,-3.72,10.5693
4488,1,-112.81,5.88,10.5542
4489,-2,-53.15,6.81,10.5486
4490,-4,-127.47,2.32,10.5317
4491,0,-57.27,-3.94,10.5296
4492,1,83.25,4.98,10.5260
4493,0,-13.84,3.04,10.5107
4494,2,86.15,-7.23,10.5089
4495,0,12.96,-0.99,10.4943
4496,0,15.48,-0.39,10.4796
4497,0,-1.71,-0.01,10.4684
4498,-1,-101.06,6.39,10.4434
4499,1,-182.70,11.76,10.4254
4500,1,40.32,0.15,10.4124
4501,0,2.03,0.39,10.4123
4502,0,33.79,-2.30,10.4118
4503,1,112.60,-0.71,10.4012
4504,0,0.00,0.00,10.3960
4505,1,31.08,-5.64,10.3885
4506,-2,-267.43,15.70,10.3842
4507,1,5.95,7.31,10.3794
4508,-2,-98.71,7.24,10.3639
4509,0,-3.44,3.30,10.3485
4510,2,170.70,-9.30,10.3369
4511,-3,-340.43,18.73,10.3143
4512,0,0.00,0.00,10.2958
4513,0,-19.23,2.94,10.2811
4514,0,0.00,0.00,10.2766
4515,0,25.01,-0.73,10.2621
4516,0,0.00,0.00,10.2592
4517,3,79.94,11.02,10.2516
4518,1,28.20,-5.57,10.2205
4519,0,7.92,-0.06,10.2156
4520,0,-19.23,2.94,10.2136
4521,0,-7.06,2.15,10.2102
4522,0,-9.91,0.21,10.2085
4523,0,120.58,-3.83,10.2051
4524,0,25.11,-0.58,10.1997
4525,0,-10.68,0.37,10.1978
4526,0,55.23,-2.06,10.1920
